reviewer2_id,original_review_id,golden_id,customer_message,context,predicted_intent,intent_confidence,retrieval_score,predicted_action,generated_reply,historical_brand_response,reviewer2_groundedness,reviewer2_relevance,reviewer2_helpfulness,reviewer2_actionability,reviewer2_brand_alignment,reviewer2_overall_quality,reviewer2_escalation_correct,reviewer2_notes
1,,120,@AppleSupport Yesterday or day before.,"customer: @AppleSupport iOS 11.03 voiceOver freezing all apps,safari on launch. App still frozen after VoiceOver deactivated. Hard reset no help.
brand: @334358 We want to look into this issue with you. How long ago did you update your device to iOS 11.0.3?",,,,auto_handle,got it. send us a DM and we can look into why VoiceOver is freezing things up.,Please send us a DM and we will look into this together. Thank you.,5,5,4,4,5,4,1,"Grounded in context and appropriately moves troubleshooting to DM."
2,,2,@AppleSupport Thank You!,"customer: @115858 please fix this auto brightness. Drains my battery
brand: @235802 You can disable that if you'd like. Just go to Settings > General > Accessibility > Display Accommodations. Let us know if that helps.",,,,auto_handle,"if you want to turn it off completely, just go to Settings > General > Accessibility > Display Accommodations in iOS 11.","In iOS 11, you can turn auto-brightness on or off in Settings > General > Accessibility > Display.",5,5,5,5,5,5,1,"Directly matches historical response and gives precise settings path."
3,,121,@115858 why does my iPhone 7 Plus keep getting stuck in landscape after using YouTube? New since 11 update. [https://t.co/G6htQNXSYM,customer](https://t.co/G6htQNXSYM,customer): @AppleSupport No there is not an update available.,,,,escalate,that's odd. DM us and we'll look into the landscape lock issue.,Let's check this out together. Follow us to DM and we'll take a closer look.,4,4,3,3,5,3,1,"Escalation handles the persistent issue, but the reply is generic compared to checking for app updates."
4,,99,@AppleSupport i always used control center. i don’t have a need to use bluetooth connectivity so it’s disheartening when i find it on and using battery needlessly. i’ll try going to settings to see if that will fix the repetitive issue.,"customer: i’d appreciate it, @115858, if you’d STOP automatically turning on my bluetooth connection on my iPad when being forced to do a restart after the numerous #iOS11 updates. thanks.
brand: @233550 Hey there. It's not expected for Bluetooth to turn on by itself when turned off, so we want to look into this with you. Are you turning it off from the Settings app, or attempting to turn it off from the Control Center?",,,,auto_handle,"the Control Center just disconnects current devices now. if you want the bluetooth radio completely turned off, you have to do it in Settings > Bluetooth.","If you're disabling your Bluetooth in the Control Center this is expected behavior. To stop this from happening, you'll want to navigate to Settings > Bluetooth to completely turn it off. Read more about that here:",5,5,4,4,5,4,1,"Accurately clarifies Control Center behavior versus Settings."
5,,113,"@AppleSupport so my iPhone wont connect to iTunes on my laptop, what should I do ?",,,,,auto_handle,let's get that connected. drop us a DM and we'll walk through some steps.,We'd be happy to look into this with you. Let's meet in DM so we can gather some information and proceed there.,5,5,4,4,5,4,1,"Appropriately moves troubleshooting connection issues to DM."
6,,152,@AppleSupport Yes. Should I erase & restore?,"customer: I have had iPhones for many years & this is the first issue...EVER! Anyone else had this problem? @AppleSupport [https://t.co/Otp6vxtzyM](https://t.co/Otp6vxtzyM)
brand: @476998 Thanks for reaching out. Does this occur after restarting your iPhone? [https://t.co/OWRDHWSt4h](https://t.co/OWRDHWSt4h)",,,,escalate,hmm let's not erase just yet. send us a DM and we can try a few other things first.,Let's look into that further. Send us a DM and we'll go from there.,4,3,3,3,5,3,1,"Advises against erasing prematurely, though slightly generic on next steps."
7,,4,@AppleSupport Will do. Cheers.,"customer: @AppleSupport Is there any way to roll my iPhone’s iOS back to 10? So many issues, battery life, Bluetooth, display, freezing etc. since 11. [https://t.co/4il93FNuG3](https://t.co/4il93FNuG3)
brand: @438624 We want to help with the issues you're experiencing. Send us a DM and we'll go from there. [https://t.co/GDrqU22YpT](https://t.co/GDrqU22YpT)",,,,escalate,what issues are you running into on iOS 11? let's see if we can smooth them out without having to downgrade.,We'd like to help! Are you experiencing any issues with iOS 11?,4,3,3,3,5,3,1,"Addresses the rollback desire by inquiring about specific bugs."
8,,171,@AppleSupport Thank you 😌,"customer: This “I️” dilemma is really starting to piss me off @AppleSupport fix this shit asap
brand: @498618 Check out this article for more details on that behavior, including how to address it: [https://t.co/xXaXeeSRt9](https://t.co/xXaXeeSRt9)",,,,auto_handle,we can definitely help with this. DM us your iPhone model and current iOS version and we'll get it fixed.,We would like to look into how we can assist. DM us the current iOS version you're using and which device.,5,5,4,4,5,4,1,"Grounded and directly prompts for relevant version info."
9,,119,"@AppleSupport iOS 11.2 supposedly adds Apple Pay to iMessage, can not seem to figure out how to enable it for the life of me. Halp! #iOS112 #ApplePay #iMessage",,,,,auto_handle,Apple Pay Cash is coming later this fall. keep an eye out for updates here.,It will be coming this fall. Keep an eye out here for updated information:,5,5,4,4,5,4,1,"Correctly sets feature availability expectations."
10,,77,"@AppleSupport Maybe for about 3 months, it used to be pretty far apart like hours apart now it feels like every 20 minutes or so. And i have an iPhone 7","customer: @115858 @AppleSupport WHY does my phone vibrate even when i don’t have any kind of notification? Got me thinking someone actually texted me but nooo my phone is just randomly vibrating 🤷🏾‍♀️
brand: @788713 Thanks for bringing this behavior to our attention. Let’s work together to get this addressed. To clarify, how long has this been happening? Also, approximately how often does it happen? Which iPhone are you using?",,,,escalate,weird. does it usually happen when you're using a specific app? also what iOS version is the 7 running?,We're here to help! We'd like to find out more to help narrow this down a bit. Does this seem to happen when a certain app is in use? Do any notifications or messages come up on the screen after the phone vibrates? Which iOS version are you using?,5,5,4,4,5,4,1,"Asks relevant troubleshooting questions for a phantom vibration issue."
