golden_id,thread_id,customer_tweet_id,customer_created_at,full_context,customer_message,historical_brand_response,intent_label,expected_action,acceptable_resolution,label_notes
1,2630153,2630153,Fri Nov 17 16:42:08 +0000 2017,,@115858 @AppleSupport my imac won't turn on after more than one hour loading. what's going on and how can i fix this.,"@742750 Let's look into this together. When attempting to power on the iMac, are you seeing any LED lights?",device_troubleshooting,auto_handle,"Identify the device and symptoms, then provide appropriate troubleshooting steps or move to private support when device-specific investigation is required.",Labeled as device_troubleshooting; expected action = auto_handle.
2,505106,505105,Fri Dec 01 21:05:43 +0000 2017,"customer: @115858 please fix this auto brightness. Drains my battery
brand: @235802 You can disable that if you'd like. Just go to Settings &gt; General &gt; Accessibility &gt; Display Accommodations. Let us know if that helps.",@AppleSupport Thank You!,,general_or_insufficient_context,auto_handle,Request the missing details or acknowledge the customer without inventing a solution; escalate when the issue cannot be safely determined from available context.,Context-dependent acknowledgement; no substantive support issue.
3,2185496,2185494,Thu Nov 09 16:41:24 +0000 2017,"customer: @AppleSupport why is this happening https://t.co/wG01KDQYoZ
brand: @640051 Let's help you with this. Which iPhone and iOS version are you using? Are you connecting to a wall outlet to charge, or a computer, when this occurs? Are you using the original Lightning cable when charging?","@AppleSupport I’m using the iPhone 7, iOS 11.1, connected to a wall outlet, and it’s the original cable. It was working for my sisters phone but not mine",@640051 Thanks for providing that information to us. Are you experiencing this issue with other cables also? Send us a DM with what you've tried and we'll go from there. https://t.co/GDrqU22YpT,battery_power,auto_handle,"Clarify device, iOS version, charging behavior, and battery symptoms, then provide battery-health or charging guidance supported by historical responses.",Labeled as battery_power; expected action = auto_handle.
4,1368859,1368858,Sun Nov 26 09:22:43 +0000 2017,"customer: @AppleSupport Is there any way to roll my iPhone’s iOS back to 10? So many issues, battery life, Bluetooth, display, freezing etc. since 11. https://t.co/4il93FNuG3
brand: @438624 We want to help with the issues you're experiencing. Send us a DM and we'll go from there. https://t.co/GDrqU22YpT",@AppleSupport Will do. Cheers.,,software_update,auto_handle,"Identify the affected OS/version and provide the relevant update, workaround, or rollback guidance supported by Apple's historical responses.",Software-update issue with enough context for an automated response.
5,1889590,1889590,Sun Oct 22 12:42:49 +0000 2017,,@AppleSupport I can’t update from iOS 11.0.1 https://t.co/isco5NAc3n,@563507 We can help. Let's start with the following resource: https://t.co/Ui1yTnOCUz DM us if you're still stuck after that. https://t.co/GDrqU22YpT,software_update,auto_handle,"Identify the affected OS/version and provide the relevant update, workaround, or rollback guidance supported by Apple's historical responses.",Labeled as software_update; expected action = auto_handle.
6,816395,816395,Thu Oct 12 16:21:04 +0000 2017,,@AppleSupport can you help me check my battery health?,@314416 We're here for you. Reach out via DM and let us know what device and software version you're using. https://t.co/GDrqU22YpT,battery_power,auto_handle,"Clarify device, iOS version, charging behavior, and battery symptoms, then provide battery-health or charging guidance supported by historical responses.",Labeled as battery_power; expected action = auto_handle.
7,2774334,2774335,Tue Nov 21 15:10:05 +0000 2017,"customer: @AppleSupport trying to install High Sierra may be the final push to take me away from Apple, after using it for over a decade. https://t.co/xE7XauhKSN
brand: @775350 Let's work together to get macOS High Sierra installed successfully. Have you tried clicking on 'Restart' from that screen? If so, what happens? DM us with details using the link below: https://t.co/GDrqU22YpT
customer: @AppleSupport I’ve restarted over 10 times. Somehow I got it started in Safe mode, and couldn’t redownload the OS installer. I don’t know how, but I’m back on Yosemite, and saving everything to try again. It’s annoying. Nothing works https://t.co/fBLYLHjXBg","@AppleSupport You know. I get it. My MacBook Pro is almost 8 years old. But if the older Macs are having such issues with this OS, then force obsolete us.",@775350 The macOS version that is reinstalled depends on the startup key combination that you used to boot into Recovery. Learn more here: https://t.co/tkVtimQwoo Let us know if the issue persists via DM when you try installing macOS High Sierra again. https://t.co/GDrqU22YpT,software_update,auto_handle,"Identify the affected OS/version and provide the relevant update, workaround, or rollback guidance supported by Apple's historical responses.",Labeled as software_update; expected action = auto_handle.
8,2320106,2320106,Mon Nov 13 04:03:33 +0000 2017,,Rented a 4K movie on the 4K Apple TV and the audio was out of sync with the video by more than a second. Thinking maybe hardware issue I tried downloading it on my iPad and it was the same. Good job @AppleSupport,"@576616 We want to make sure that those movies you rent work well for you, and with this happening on more than one device we're going to want to have our iTunes Store team take a look. You can reach them here to start: https://t.co/SDIe7UiyJN",apple_music_media,escalate,"Identify the affected media feature and provide the relevant playback, library, sync, or media troubleshooting steps.",Labeled as apple_music_media; expected action = escalate.
9,795781,795781,Thu Oct 12 11:27:41 +0000 2017,,@115858 I have received an email receipt for something I haven't purchased. Could you please direct me to someone who can help as I am at work and cannot ring up,@309739 Sure! Our iTunes team can help with that. Let's meet up here: https://t.co/SDIe7UiyJN,purchase_store_refund,escalate,"Provide the appropriate store, sales, warranty, receipt, or refund path, escalating when transaction-specific investigation is required.",Labeled as purchase_store_refund; expected action = escalate.
10,94745,94744,Thu Nov 30 18:30:43 +0000 2017,"customer: Stupid @AppleSupport iPhone autocorrect my “I️” you guys need to fix that crap starting to get very irritating
brand: @136580 We want to help. Which version of iOS 11 is your device currently running?",@AppleSupport 11.0.1 15A403,"@136580 An update has been released to assist with this issue. If you haven’t yet, please back up your device and update it to iOS 11.1.2. For more info, check out: https://t.co/4f8hwT5to6",software_update,auto_handle,"Identify the affected OS/version and provide the relevant update, workaround, or rollback guidance supported by Apple's historical responses.",Labeled as software_update; expected action = auto_handle.
