golden_id,failure_category,failure_reason,customer_message,true_intent,predicted_intent,intent_confidence,retrieval_score,predicted_action,expected_action,generated_reply,human_helpfulness,human_relevance,human_actionability,human_groundedness,human_overall_quality,human_notes
1,intent_misclassification,predicted=how_to_settings; true=device_troubleshooting,@115858 @AppleSupport my imac won't turn on after more than one hour loading. what's going on and how can i fix this.,device_troubleshooting,how_to_settings,0.8202,0.762,auto_handle,auto_handle,"Hey there. Let’s see what’s going on with your iMac. To clarify, when you say it turns off after loading, do you mean after seeing the loading bar on startup?",,,,,,
2,intent_misclassification,predicted=how_to_settings; true=general_or_insufficient_context,@AppleSupport Thank You!,general_or_insufficient_context,how_to_settings,0.7243,0.7874,auto_handle,auto_handle,"In iOS 11, you can turn auto-brightness on or off in Settings &gt; General &gt; Accessibility &gt; Display.",1,1,1,5,2,Completely misses the conversational context of a closing thank you.
3,over_escalation,escalated_when_auto_handle_expected,"@AppleSupport I’m using the iPhone 7, iOS 11.1, connected to a wall outlet, and it’s the original cable. It was working for my sisters phone but not mine",battery_power,battery_power,0.3456,0.7311,escalate,auto_handle,We'd like to take a closer look at this. Please contact Apple Support through the appropriate support channel so we can investigate further.,,,,,,
4,intent_misclassification,predicted=battery_power; true=software_update,@AppleSupport Will do. Cheers.,software_update,battery_power,0.4839,0.8217,escalate,auto_handle,We'd like to take a closer look at this. Please contact Apple Support through the appropriate support channel so we can investigate further.,1,2,1,2,2,Irrelevant generic escalation to a closing acknowledgement.
7,intent_misclassification,predicted=device_troubleshooting; true=software_update,"@AppleSupport You know. I get it. My MacBook Pro is almost 8 years old. But if the older Macs are having such issues with this OS, then force obsolete us.",software_update,device_troubleshooting,0.6014,0.7165,auto_handle,auto_handle,"Thanks for the details. We'd be happy to help with your Mac. If you restart the device, does it come back to this screen? Does an error message show before this appears? Let us know in DM, please.",,,,,,
8,unsafe_automation,auto_handled_when_escalation_expected,Rented a 4K movie on the 4K Apple TV and the audio was out of sync with the video by more than a second. Thinking maybe hardware issue I tried downloading it on my iPad and it was the same. Good job @AppleSupport,apple_music_media,apple_music_media,0.7672,0.7197,auto_handle,escalate,"No worries, we have a dedicated team available to assist. Reach our Apple TV specialists here:",4,5,3,5,4,Good match but missing the actual URL for the specialists.
9,weak_retrieval_evidence,retrieval_score=0.6909,@115858 I have received an email receipt for something I haven't purchased. Could you please direct me to someone who can help as I am at work and cannot ring up,purchase_store_refund,purchase_store_refund,0.6821,0.6909,escalate,escalate,This needs transaction-specific assistance. Please contact Apple Support through the appropriate support channel so the purchase or refund details can be reviewed securely.,,,,,,
10,over_escalation,escalated_when_auto_handle_expected,@AppleSupport 11.0.1 15A403,software_update,software_update,0.3936,0.7625,escalate,auto_handle,We'd like to take a closer look at this. Please contact Apple Support through the appropriate support channel so we can investigate further.,,,,,,
11,over_escalation,escalated_when_auto_handle_expected,@115858 FIX YO SHIT! Tired of this I️,device_troubleshooting,device_troubleshooting,0.4047,0.8043,escalate,auto_handle,We'd like to take a closer look at this. Please contact Apple Support through the appropriate support channel so we can investigate further.,,,,,,
13,intent_misclassification,predicted=connectivity; true=device_troubleshooting,@AppleSupport can not download anything from the App Store. In canada.,device_troubleshooting,connectivity,0.3604,0.7325,escalate,auto_handle,We'd like to take a closer look at this. Please contact Apple Support through the appropriate support channel so we can investigate further.,,,,,,
