golden_id,customer_message,context,true_intent,predicted_intent,intent_confidence,retrieval_score,retrieved_customer_message,historical_brand_response,predicted_action,expected_action,decision_reason,generated_reply,intent_correct,action_correct
1,@115858 @AppleSupport my imac won't turn on after more than one hour loading. what's going on and how can i fix this.,,device_troubleshooting,how_to_settings,0.8202,0.762,@AppleSupport yo my imac keeps turning off after loading and I don't know how to fix it can you help me,"Hey there. Let’s see what’s going on with your iMac. To clarify, when you say it turns off after loading, do you mean after seeing the loading bar on startup?",auto_handle,auto_handle,sufficient_confidence_and_evidence,"Hey there. Let’s see what’s going on with your iMac. To clarify, when you say it turns off after loading, do you mean after seeing the loading bar on startup?",False,True
2,@AppleSupport Thank You!,"customer: @115858 please fix this auto brightness. Drains my battery
brand: @235802 You can disable that if you'd like. Just go to Settings &gt; General &gt; Accessibility &gt; Display Accommodations. Let us know if that helps.",general_or_insufficient_context,how_to_settings,0.7243,0.7874,"@397495 @AppleSupport Did you see auto brightness in settings, general, accessibility, display accommodations? Turn it off or on there.","In iOS 11, you can turn auto-brightness on or off in Settings &gt; General &gt; Accessibility &gt; Display.",auto_handle,auto_handle,sufficient_confidence_and_evidence,"In iOS 11, you can turn auto-brightness on or off in Settings &gt; General &gt; Accessibility &gt; Display.",False,True
3,"@AppleSupport I’m using the iPhone 7, iOS 11.1, connected to a wall outlet, and it’s the original cable. It was working for my sisters phone but not mine","customer: @AppleSupport why is this happening https://t.co/wG01KDQYoZ
brand: @640051 Let's help you with this. Which iPhone and iOS version are you using? Are you connecting to a wall outlet to charge, or a computer, when this occurs? Are you using the original Lightning cable when charging?",battery_power,battery_power,0.3456,0.7311,@AppleSupport that the iPhone needs to charge and the device does not recognize the cable,"We're here for you. We've received your DM, and we'll continue there.",escalate,auto_handle,low_intent_confidence,We'd like to take a closer look at this. Please contact Apple Support through the appropriate support channel so we can investigate further.,True,False
4,@AppleSupport Will do. Cheers.,"customer: @AppleSupport Is there any way to roll my iPhone’s iOS back to 10? So many issues, battery life, Bluetooth, display, freezing etc. since 11. https://t.co/4il93FNuG3
brand: @438624 We want to help with the issues you're experiencing. Send us a DM and we'll go from there. https://t.co/GDrqU22YpT",software_update,battery_power,0.4839,0.8217,"@AppleSupport hi, is there a way to roll back to iOS 10?",We'd like to help! Are you experiencing any issues with iOS 11?,escalate,auto_handle,low_intent_confidence,We'd like to take a closer look at this. Please contact Apple Support through the appropriate support channel so we can investigate further.,False,False
5,@AppleSupport I can’t update from iOS 11.0.1 https://t.co/isco5NAc3n,,software_update,software_update,0.8194,0.8998,@AppleSupport unable to update iOS 11 https://t.co/AozPYxxuA2,Thanks for reaching out. Are you able to check for that update when you connect to Wi-Fi?,auto_handle,auto_handle,sufficient_confidence_and_evidence,Thanks for reaching out. Are you able to check for that update when you connect to Wi-Fi?,True,True
6,@AppleSupport can you help me check my battery health?,,battery_power,battery_power,0.8202,0.8996,@AppleSupport would you be able to check my battery health for me please?,We're always happy to help. Meet with us in DM and we'll take a look.,auto_handle,auto_handle,sufficient_confidence_and_evidence,Thanks for the details. We're always happy to help. Meet with us in DM and we'll take a look.,True,True
7,"@AppleSupport You know. I get it. My MacBook Pro is almost 8 years old. But if the older Macs are having such issues with this OS, then force obsolete us.","customer: @AppleSupport trying to install High Sierra may be the final push to take me away from Apple, after using it for over a decade. https://t.co/xE7XauhKSN
brand: @775350 Let's work together to get macOS High Sierra installed successfully. Have you tried clicking on 'Restart' from that screen? If so, what happens? DM us with details using the link below: https://t.co/GDrqU22YpT
customer: @AppleSupport I’ve restarted over 10 times. Somehow I got it started in Safe mode, and couldn’t redownload the OS installer. I don’t know how, but I’m back on Yosemite, and saving everything to try again. It’s annoying. Nothing works https://t.co/fBLYLHjXBg",software_update,device_troubleshooting,0.6014,0.7165,@AppleSupport whats going on after attempting to install high sierra on my imac please? Its completely dead https://t.co/IxdKj4Q5Al,"We'd be happy to help with your Mac. If you restart the device, does it come back to this screen? Does an error message show before this appears? Let us know in DM, please.",auto_handle,auto_handle,sufficient_confidence_and_evidence,"Thanks for the details. We'd be happy to help with your Mac. If you restart the device, does it come back to this screen? Does an error message show before this appears? Let us know in DM, please.",False,True
8,Rented a 4K movie on the 4K Apple TV and the audio was out of sync with the video by more than a second. Thinking maybe hardware issue I tried downloading it on my iPad and it was the same. Good job @AppleSupport,,apple_music_media,apple_music_media,0.7672,0.7197,@AppleSupport I am really regretting my Apple TV 4K purchase. Constant pausing and crashing when we try to watch a movie preview. #Lame,"No worries, we have a dedicated team available to assist. Reach our Apple TV specialists here:",auto_handle,escalate,sufficient_confidence_and_evidence,"No worries, we have a dedicated team available to assist. Reach our Apple TV specialists here:",True,False
9,@115858 I have received an email receipt for something I haven't purchased. Could you please direct me to someone who can help as I am at work and cannot ring up,,purchase_store_refund,purchase_store_refund,0.6821,0.6909,@AppleSupport I have received an email saying I've bought something and an invoice and I haven't bought anything recently ?,We can look into this with you. Have you checked your recent purchases to see if it was from your account:,escalate,escalate,low_historical_evidence;sensitive_or_transaction_specific,This needs transaction-specific assistance. Please contact Apple Support through the appropriate support channel so the purchase or refund details can be reviewed securely.,True,True
10,@AppleSupport 11.0.1 15A403,"customer: Stupid @AppleSupport iPhone autocorrect my “I️” you guys need to fix that crap starting to get very irritating
brand: @136580 We want to help. Which version of iOS 11 is your device currently running?",software_update,software_update,0.3936,0.7625,.@AppleSupport How do you keep making iOS 11 even worse? I can’t even type “I” now.,"We're happy to assist! Take a look here for steps: DM us with any questions, please.",escalate,auto_handle,low_intent_confidence,We'd like to take a closer look at this. Please contact Apple Support through the appropriate support channel so we can investigate further.,True,False
11,@115858 FIX YO SHIT! Tired of this I️,,device_troubleshooting,device_troubleshooting,0.4047,0.8043,@115858 FIX YOUR SHIT PLEASE,"Let's help. For more information on the behavior, please visit: DM us with any questions:",escalate,auto_handle,low_intent_confidence,We'd like to take a closer look at this. Please contact Apple Support through the appropriate support channel so we can investigate further.,True,False
12,"Hey @115858 ever since the new IOS update my phone has been randomly freezing, shutting off, not connecting to WiFi, and it’s a 6S+ WTF",,connectivity,connectivity,0.6292,0.8134,".@115858 hey, you've updated but iPhone 6s's are still freezing out of nowhere. I can't use my phone when that happens. iOS11 has been awful",We'd love to help out. Do you know what version of the iOS is on the device?,auto_handle,auto_handle,sufficient_confidence_and_evidence,Thanks for the details. We'd love to help out. Do you know what version of the iOS is on the device?,True,True
13,@AppleSupport can not download anything from the App Store. In canada.,"customer: @AppleSupport I’ve tried wifi and data. No luck. Anyway to check if there’s an outage? We got rainfall.. and I updated OS today
brand: @402227 Got it. DM us, and we can look into this deeper. https://t.co/GDrqU22YpT",device_troubleshooting,connectivity,0.3604,0.7325,@AppleSupport is the App Store down ?? I can’t download any apps or update any.,The App Store isn't down. Tell us the country you're located in and any message you're receiving. We'll look into this together.,escalate,auto_handle,low_intent_confidence,We'd like to take a closer look at this. Please contact Apple Support through the appropriate support channel so we can investigate further.,False,False
14,"I have the Worst luck with phone between @AppleSupport and @TMobileHelp I always have problems No service, now no battery power😡😡😡😡😡😡",,general_or_insufficient_context,device_troubleshooting,0.2387,0.7608,@AppleSupport Please fix the battery life problem. Phone hardly worth using at the moment.,The Dock will appear when swiping up for Control Center as it's part of Control Center on iPad:,escalate,auto_handle,low_intent_confidence,We'd like to take a closer look at this. Please contact Apple Support through the appropriate support channel so we can investigate further.,False,False
15,@AppleSupport That said when I type it,,general_or_insufficient_context,device_troubleshooting,0.3617,0.8232,@AppleSupport I sent a message,None,escalate,auto_handle,low_intent_confidence,We'd like to take a closer look at this. Please contact Apple Support through the appropriate support channel so we can investigate further.,False,False
