golden_id,customer_message,intent,top1_similarity,top5_max_similarity,recall_at_1,recall_at_3,recall_at_5
1,@115858 @AppleSupport my imac won't turn on after more than one hour loading. what's going on and how can i fix this.,device_troubleshooting,0.8053,0.8053,1,1,1
2,@AppleSupport Thank You!,general_or_insufficient_context,1.0,1.0,1,1,1
3,"@AppleSupport I’m using the iPhone 7, iOS 11.1, connected to a wall outlet, and it’s the original cable. It was working for my sisters phone but not mine",battery_power,0.7317,0.7317,1,1,1
4,@AppleSupport Will do. Cheers.,software_update,0.9692,0.9692,1,1,1
5,@AppleSupport I can’t update from iOS 11.0.1 https://t.co/isco5NAc3n,software_update,0.9331,0.9331,1,1,1
6,@AppleSupport can you help me check my battery health?,battery_power,0.9494,0.9494,1,1,1
7,"@AppleSupport You know. I get it. My MacBook Pro is almost 8 years old. But if the older Macs are having such issues with this OS, then force obsolete us.",software_update,0.7038,0.7038,1,1,1
8,Rented a 4K movie on the 4K Apple TV and the audio was out of sync with the video by more than a second. Thinking maybe hardware issue I tried downloading it on my iPad and it was the same. Good job @AppleSupport,apple_music_media,0.6836,0.6836,1,1,1
9,@115858 I have received an email receipt for something I haven't purchased. Could you please direct me to someone who can help as I am at work and cannot ring up,purchase_store_refund,0.6791,0.6791,1,1,1
10,@AppleSupport 11.0.1 15A403,software_update,0.9908,0.9908,1,1,1
11,@115858 FIX YO SHIT! Tired of this I️,device_troubleshooting,0.9556,0.9556,1,1,1
12,"Hey @115858 ever since the new IOS update my phone has been randomly freezing, shutting off, not connecting to WiFi, and it’s a 6S+ WTF",connectivity,0.8636,0.8636,1,1,1
13,@AppleSupport can not download anything from the App Store. In canada.,device_troubleshooting,0.8715,0.8715,1,1,1
14,"I have the Worst luck with phone between @AppleSupport and @TMobileHelp I always have problems No service, now no battery power😡😡😡😡😡😡",general_or_insufficient_context,0.7683,0.7683,1,1,1
15,@AppleSupport That said when I type it,general_or_insufficient_context,0.9031,0.9031,1,1,1
16,@193767 @AppleSupport @116333 @119462 @123857 Battery lasting barely one day now 😡,how_to_settings,0.8204,0.8204,1,1,1
17,@AppleSupport That worked thank you!,connectivity,1.0,1.0,1,1,1
18,@AppleSupport What shall i do? https://t.co/xpTaWv3KdV,apple_music_media,0.9711,0.9711,1,1,1
19,"@AppleSupport No error message, just constant spinning dial whilst phone/app connecting to exchange. Must be a 30sec lag compared to instant pre new IOS",device_troubleshooting,0.7285,0.7285,1,1,1
20,Hey @115858 I don’t think you fixed the glitch.,general_or_insufficient_context,0.9225,0.9225,1,1,1
21,Around what time are y’all gone stop ignoring this box issue? @AppleSupport @115858,software_update,0.7222,0.7222,1,1,1
22,@AppleSupport Sure,device_troubleshooting,1.0,1.0,1,1,1
23,I️ need answers. Why do I️ still get that box with the question mark. My phone is updated. @AppleSupport,connectivity,0.9327,0.9327,1,1,1
