golden_id,customer_message,context,generated_reply,historical_brand_response,predicted_action,groundedness,relevance,helpfulness,actionability,brand_alignment,overall_quality,human_escalation_correct,human_notes
177,"Yo, @115858 what’s up with this update? Got my phone looking like it’s on android status!","","Thanks for the details. We're here to help. What's happening specifically with your iPhone? Send us a DM and let us know.","We're here to help. What's happening specifically with your iPhone? Send us a DM and let us know.",auto_handle,5,5,4,4,5,4,1,"Historically grounded and appropriately asks for clarification; useful but not a complete troubleshooting step."
187,"@AppleSupport Yes I am.","customer: @applesupport How does my phone battery decrease by up to 40% overnight when not in use with the new update!?!#iOS11
brand: @511674 Battery life is important. We’d like to help. Are you using iOS 11.1?","Thanks for the details. We'd like to look at this with you. Which iPhone do you have?","We'd like to look at this with you. Which iPhone do you have?",auto_handle,5,5,4,4,5,4,1,"Grounded in the historical exchange and asks for the device model; useful next step for a battery issue."
5,"@AppleSupport I can’t update from iOS 11.0.1 https://t.co/isco5NAc3n","","Thanks for reaching out. Are you able to check for that update when you connect to Wi-Fi?","Thanks for reaching out. Are you able to check for that update when you connect to Wi-Fi?",auto_handle,5,5,4,4,5,4,1,"Matches the historical response and gives a relevant Wi-Fi-related next step, though troubleshooting is limited."
145,"@115858 Why is it so hard to turn off wifi/BT in OS11? I wish i could dump a tub of discarded shrimp shells on the idiot who thought it's a ""feature"" to keep em running when you turn 'em off in CP. Many work in areas that restrict wifi/BT! Can't buy new iphone until this is fixed!","","What you're describing is expected and is explained in the article provided. You can turn off Bluetooth/Wi-Fi in Settings app.","What you're describing is expected and is explained in the article provided. You can turn off Bluetooth/Wi-Fi in Settings app.",auto_handle,5,5,4,4,5,4,1,"Directly matches the historical guidance and addresses the Settings behavior."
76,"@AppleSupport God I’ve been tweeting constantly as have others. I can DM but it’s just a shitty design for your new keyboard. I type letters as a,ways and the stupid numbers appear instead.","customer: @AppleSupport what is with this freaking keyboard in recent update. I’m so sick of correcting numbers sneaking into my words I’m now willing to look at other products
brand: @665906 We want to help. Let's continue in DM. https://t.co/GDrqU22YpT","Thanks for the details. None","None",auto_handle,1,2,1,1,1,1,0,"Generated reply is effectively 'None' despite a substantive keyboard complaint; not useful or actionable."
98,"@AppleSupport iOS 11.0.3","","Thanks for the details. We're happy to help. Have you tried restarting your iPhone? Let us know to continue.","We're happy to help. Have you tried restarting your iPhone? Let us know to continue.",auto_handle,5,5,4,4,5,4,1,"Matches the historical response and gives a simple restart step, though it is basic."
180,"Can’t wait to get an Android. Watching my iPhone battery life vanish by a percentage point every 15-30 seconds. Background refresh turned off. Data for almost all apps turned off. Great work, @115858. Nice “I” glitch, too, geniuses.","","Thanks for the details. We want to help you with your iPhone's battery life. DM us, and we'll look into this.","We want to help you with your iPhone's battery life. DM us, and we'll look into this.",auto_handle,5,5,4,4,5,4,1,"Grounded in the historical battery-life response and appropriately moves the user to DM."
12,"Hey @115858 ever since the new IOS update my phone has been randomly freezing, shutting off, not connecting to WiFi, and it’s a 6S+ WTF","","Thanks for the details. We'd love to help out. Do you know what version of the iOS is on the device?","We'd love to help out. Do you know what version of the iOS is on the device?",auto_handle,5,5,4,4,5,4,1,"Matches the historical response and asks for the iOS version, a sensible diagnostic step."
4,"@AppleSupport Will do. Cheers.","customer: @AppleSupport Is there any way to roll my iPhone’s iOS back to 10? So many issues, battery life, Bluetooth, display, freezing etc. since 11. https://t.co/4il93FNuG3
brand: @438624 We want to help with the issues you're experiencing. Send us a DM and we'll go from there. https://t.co/GDrqU22YpT","We'd like to take a closer look at this. Please contact Apple Support through the appropriate support channel so we can investigate further.","We'd like to help! Are you experiencing any issues with iOS 11?",escalate,4,3,2,3,5,3,1,"Escalation is reasonable for a multi-symptom rollback request, but the generated reply is generic and less useful than the historical response."
152,"@AppleSupport Yes. Should I erase & restore?","customer: I have had iPhones for many years & this is the first issue...EVER! Anyone else had this problem? @AppleSupport https://t.co/Otp6vxtzyM
brand: @476998 Thanks for reaching out. Does this occur after restarting your iPhone? https://t.co/OWRDHWSt4h","We'd like to take a closer look at this. Please contact Apple Support through the appropriate support channel so we can investigate further.","Let's look into that further. Send us a DM and we'll go from there.",escalate,4,3,2,3,5,3,1,"Escalation is reasonable for an erase-and-restore question, but the reply does not directly address whether to erase and restore."
47,"@AppleSupport I had not reset my device since I updated to iOS 11. Thanks for the tip.","customer: @AppleSupport Model A1490
brand: @165441 Thanks. Did you turn off the Cellular Data option from your Settings? Settings > Cellular > Cellular Data.
customer: @AppleSupport The potential mobile provider is Sprint fwiw
brand: @165441 After switching off the Cellular Data option from your Settings, did you restart your device? https://t.co/OWRDHWSt4h https://t.co/GDrqU22YpT","Are you able to see anything in the other section of the App Store? For example, Today, Games or Update?","Are you able to see anything in the other section of the App Store? For example, Today, Games or Update?",auto_handle,1,1,1,1,2,1,0,"Reply is unrelated to the visible context and historical exchange; it would not help the customer with the stated issue."
8,"Rented a 4K movie on the 4K Apple TV and the audio was out of sync with the video by more than a second. Thinking maybe hardware issue I tried downloading it on my iPad and it was the same. Good job @AppleSupport","","No worries, we have a dedicated team available to assist. Reach our Apple TV specialists here:","No worries, we have a dedicated team available to assist. Reach our Apple TV specialists here:",auto_handle,5,5,4,4,5,4,1,"Matches the historical Apple TV specialist handoff and is appropriate for an audio/video synchronization issue."
56,"Ummmm @AppleSupport my I️ are not i suddenly!!!","","We'd like to take a closer look at this. Please contact Apple Support through the appropriate support channel so we can investigate further.","Thank you for your patience. Rest assured, we've received your DM messages and will respond from there.",escalate,3,3,2,2,4,2,1,"Escalation fits the unclear keyboard-style issue, but the reply is generic and less specific than the historical DM acknowledgment."
