golden_id,customer_message,context,true_intent,predicted_intent,intent_confidence,retrieval_score,retrieved_customer_message,historical_brand_response,predicted_action,expected_action,decision_reason,generated_reply,intent_correct,action_correct
1,@115858 @AppleSupport my imac won't turn on after more than one hour loading. what's going on and how can i fix this.,,device_troubleshooting,how_to_settings,0.8813,0.8053,@AppleSupport yo my imac keeps turning off after loading and I don't know how to fix it can you help me,"Hey there. Let’s see what’s going on with your iMac. To clarify, when you say it turns off after loading, do you mean after seeing the loading bar on startup?",auto_handle,auto_handle,sufficient_confidence_and_evidence,"there. Let’s see what’s going on with your iMac. To clarify, when you say it turns off after loading, do you mean after seeing the loading bar on startup?",False,True
2,@AppleSupport Thank You!,customer: @115858 please fix this auto brightness. Drains my battery brand: @235802 You can disable that if you'd like. Just go to Settings &gt; General &gt; Accessibility &gt; Display Accommodations. Let us know if that helps.,general_or_insufficient_context,device_troubleshooting,0.2709,1.0,@AppleSupport Thank you !,None,escalate,auto_handle,low_intent_confidence,We'd like to take a closer look at this. Please contact Apple Support through the appropriate support channel so we can investigate further.,False,False
3,"@AppleSupport I’m using the iPhone 7, iOS 11.1, connected to a wall outlet, and it’s the original cable. It was working for my sisters phone but not mine","customer: @AppleSupport why is this happening https://t.co/wG01KDQYoZ brand: @640051 Let's help you with this. Which iPhone and iOS version are you using? Are you connecting to a wall outlet to charge, or a computer, when this occurs? Are you using the original Lightning cable when charging?",battery_power,software_update,0.6579,0.7317,hey @AppleSupport i am having some trouble. my iphone is saying that my original cable isn’t suitable. how can i solve that? https://t.co/D07h5Yw6O4,Which device are you using? DM us and we'll continue.,auto_handle,auto_handle,sufficient_confidence_and_evidence,Thanks for the details. Which device are you using? DM us and we'll continue.,False,True
4,@AppleSupport Will do. Cheers.,"customer: @AppleSupport Is there any way to roll my iPhone’s iOS back to 10? So many issues, battery life, Bluetooth, display, freezing etc. since 11. https://t.co/4il93FNuG3 brand: @438624 We want to help with the issues you're experiencing. Send us a DM and we'll go from there. https://t.co/GDrqU22YpT",software_update,purchase_store_refund,0.3114,0.9692,@AppleSupport Will do. Thanks a lot,"You’re very welcome. If you need any further assistance, we’ll be here for you.",escalate,auto_handle,low_intent_confidence;sensitive_or_transaction_specific,This needs transaction-specific assistance. Please contact Apple Support through the appropriate support channel so the purchase or refund details can be reviewed securely.,False,False
5,@AppleSupport I can’t update from iOS 11.0.1 https://t.co/isco5NAc3n,,software_update,software_update,0.9614,0.9331,@115858 @AppleSupport I can’t update to iOS 11.0.2,Are you trying to update through Wi-Fi or through iTunes? Let us know and we'll help update.,auto_handle,auto_handle,sufficient_confidence_and_evidence,Thanks for the details. Are you trying to update through Wi-Fi or through iTunes? Let us know and we'll help update.,True,True
6,@AppleSupport can you help me check my battery health?,,battery_power,battery_power,0.8139,0.9494,@AppleSupport would you be able to check my battery health for me please?,We're always happy to help. Meet with us in DM and we'll take a look.,auto_handle,auto_handle,sufficient_confidence_and_evidence,Thanks for the details. We're always happy to help. Meet with us in DM and we'll take a look.,True,True
7,"@AppleSupport You know. I get it. My MacBook Pro is almost 8 years old. But if the older Macs are having such issues with this OS, then force obsolete us.","customer: @AppleSupport trying to install High Sierra may be the final push to take me away from Apple, after using it for over a decade. https://t.co/xE7XauhKSN brand: @775350 Let's work together to get macOS High Sierra installed successfully. Have you tried clicking on 'Restart' from that screen? If so, what happens? DM us with details using the link below: https://t.co/GDrqU22YpT customer: @AppleSupport I’ve restarted over 10 times. Somehow I got it started in Safe mode, and couldn’t redownload the OS installer. I don’t know how, but I’m back on Yosemite, and saving everything to try again. It’s annoying. Nothing works https://t.co/fBLYLHjXBg",software_update,device_troubleshooting,0.3549,0.7038,@AppleSupport It is a 2017 MacBook Pro. Brand new. This is a known issue with complaints all over your support forums.,"For assistance on this, please reach out to our Final Cut Pro X team. You can contact them with this link:",escalate,auto_handle,low_intent_confidence,We'd like to take a closer look at this. Please contact Apple Support through the appropriate support channel so we can investigate further.,False,False
8,Rented a 4K movie on the 4K Apple TV and the audio was out of sync with the video by more than a second. Thinking maybe hardware issue I tried downloading it on my iPad and it was the same. Good job @AppleSupport,,apple_music_media,device_troubleshooting,0.2401,0.6836,@AppleSupport We got our Apple TV 4k on Friday &amp; have had this issue almost every time we try to use it...any insight? https://t.co/ErdNkSGQ6b,Let's get you pointed in the right direction. Reach out to our Apple TV experts here:,escalate,escalate,low_intent_confidence,We'd like to take a closer look at this. Please contact Apple Support through the appropriate support channel so we can investigate further.,False,True
9,@115858 I have received an email receipt for something I haven't purchased. Could you please direct me to someone who can help as I am at work and cannot ring up,,purchase_store_refund,purchase_store_refund,0.6475,0.6791,@AppleSupport Manchester Arndale too busy to pick up phone so just cut me off x 3. No receipt for my Mon purchase - mis typed email? Help,We'd like to see how we can help. Let us know in DM if the email can be found in the spam or junk folder:,escalate,escalate,sensitive_or_transaction_specific,This needs transaction-specific assistance. Please contact Apple Support through the appropriate support channel so the purchase or refund details can be reviewed securely.,True,True
10,@AppleSupport 11.0.1 15A403,customer: Stupid @AppleSupport iPhone autocorrect my “I️” you guys need to fix that crap starting to get very irritating brand: @136580 We want to help. Which version of iOS 11 is your device currently running?,software_update,software_update,0.7658,0.9908,@AppleSupport 11.0.2 15A421,"Thanks for that. Let's go ahead and meet in DM, and we'll take a closer look.",auto_handle,auto_handle,sufficient_confidence_and_evidence,"Thanks for the details. Thanks for that. Let's go ahead and meet in DM, and we'll take a closer look.",True,True
11,@115858 FIX YO SHIT! Tired of this I️,,device_troubleshooting,device_troubleshooting,0.336,0.9556,@115858 yo fix this shit. I️,We'd be glad to be of assistance. We have addressed this issue in our recent iOS 11.1.1 update:,escalate,auto_handle,low_intent_confidence,We'd like to take a closer look at this. Please contact Apple Support through the appropriate support channel so we can investigate further.,True,False
12,"Hey @115858 ever since the new IOS update my phone has been randomly freezing, shutting off, not connecting to WiFi, and it’s a 6S+ WTF",,connectivity,connectivity,0.4926,0.8636,".@115858 hey, you've updated but iPhone 6s's are still freezing out of nowhere. I can't use my phone when that happens. iOS11 has been awful",We'd love to help out. Do you know what version of the iOS is on the device?,escalate,auto_handle,low_intent_confidence,We'd like to take a closer look at this. Please contact Apple Support through the appropriate support channel so we can investigate further.,True,False
13,@AppleSupport can not download anything from the App Store. In canada.,"customer: @AppleSupport I’ve tried wifi and data. No luck. Anyway to check if there’s an outage? We got rainfall.. and I updated OS today brand: @402227 Got it. DM us, and we can look into this deeper. https://t.co/GDrqU22YpT",device_troubleshooting,purchase_store_refund,0.372,0.8715,@AppleSupport I can’t download anything in the App Store :(,Let's look into this App Store issue for you. What happens when you attempt to download something? Let us know in DM.,escalate,auto_handle,low_intent_confidence;sensitive_or_transaction_specific,This needs transaction-specific assistance. Please contact Apple Support through the appropriate support channel so the purchase or refund details can be reviewed securely.,False,False
14,"I have the Worst luck with phone between @AppleSupport and @TMobileHelp I always have problems No service, now no battery power😡😡😡😡😡😡",,general_or_insufficient_context,battery_power,0.3011,0.7683,@AppleSupport Please fix the battery life problem. Phone hardly worth using at the moment.,The Dock will appear when swiping up for Control Center as it's part of Control Center on iPad:,escalate,auto_handle,low_intent_confidence,We'd like to take a closer look at this. Please contact Apple Support through the appropriate support channel so we can investigate further.,False,False
15,@AppleSupport That said when I type it,,general_or_insufficient_context,device_troubleshooting,0.3371,0.9031,@AppleSupport I’m seeing it when I️ type,We'd like to look into this further with you. Connect with us in DM to continue:,escalate,auto_handle,low_intent_confidence,We'd like to take a closer look at this. Please contact Apple Support through the appropriate support channel so we can investigate further.,False,False
16,@193767 @AppleSupport @116333 @119462 @123857 Battery lasting barely one day now 😡,,how_to_settings,purchase_store_refund,0.3535,0.8204,"@414266 @AppleSupport after a little over a week mine went back to a normal battery life. Not amazing, but not as horrible",None,escalate,auto_handle,low_intent_confidence;sensitive_or_transaction_specific,This needs transaction-specific assistance. Please contact Apple Support through the appropriate support channel so the purchase or refund details can be reviewed securely.,False,False
17,@AppleSupport That worked thank you!,"customer: @applesupport everytime I️ type the word “I️” this happens. How do I️ fix this? brand: @777951 Thanks for reaching out. We recently released iOS 11.1.2, so let’s go ahead and upgrade to that latest version, then let us know how things go from there. This article will guide you: https://t.co/80YRnjDFDk",connectivity,device_troubleshooting,0.2616,1.0,@AppleSupport That worked thank you!,None,escalate,auto_handle,low_intent_confidence,We'd like to take a closer look at this. Please contact Apple Support through the appropriate support channel so we can investigate further.,False,False
18,@AppleSupport What shall i do? https://t.co/xpTaWv3KdV,customer: @AppleSupport help! My iPhone won’t turn on 😭 brand: @793021 We're here for you. We'd like to start off with which model iPhone you're using and anything else you can tell us about what happened before you discovered it would not power on. Thanks! customer: @AppleSupport I’m using an iPhone 7 and i was browsing the net before sleeping when I woke up it was off and it won’t turn on customer: @AppleSupport I’m connecting it now to the iTunes to update it but it’s taking too long and I’m waiting,apple_music_media,device_troubleshooting,0.2307,0.9711,@AppleSupport what should I do ? https://t.co/w4Pncxkzkm,We would like to help you with your App Store. What happens after you sign in there? Please respond in DM.,escalate,auto_handle,low_intent_confidence,We'd like to take a closer look at this. Please contact Apple Support through the appropriate support channel so we can investigate further.,False,False
19,"@AppleSupport No error message, just constant spinning dial whilst phone/app connecting to exchange. Must be a 30sec lag compared to instant pre new IOS",customer: @AppleSupport Ok thank you. I’ll dm you. What info do you need? Code from back of phone? brand: @167330 DM us what model phone you are using and we can help out. https://t.co/GDrqU22YpT customer: @AppleSupport New ios 11.0.2 still does not resolve Mail app issues!! Cannot connect to Microsoft office exchange without searching for ages brand: @167330 We'd love to help in any way we can. What's happening exactly with your exchange account? Are you getting an error message?,device_troubleshooting,software_update,0.5359,0.7285,"@AppleSupport Laggy during app transition, phone has frozen up countless amount of times.. every 25 mins or so leading me to have to hard reset....",Thanks for that info. Which iPhone model are you experiencing this on? Let us know in DM. We'll meet you there.,escalate,auto_handle,low_intent_confidence,We'd like to take a closer look at this. Please contact Apple Support through the appropriate support channel so we can investigate further.,False,False
20,Hey @115858 I don’t think you fixed the glitch.,,general_or_insufficient_context,purchase_store_refund,0.2782,0.9225,Hey @115858 could you fix the glitch? THANKS I️,Here’s what you can do to work around the issue until it’s fixed in a future software update:,escalate,auto_handle,low_intent_confidence;sensitive_or_transaction_specific,This needs transaction-specific assistance. Please contact Apple Support through the appropriate support channel so the purchase or refund details can be reviewed securely.,False,False
21,Around what time are y’all gone stop ignoring this box issue? @AppleSupport @115858,,software_update,device_troubleshooting,0.3133,0.7222,@AppleSupport I can’t take seeing theses boxes anymore 😭😭😡🤬 when is this getting fixed fam?,Here’s what you can do to work around the issue until it’s fixed in a future software update:,escalate,auto_handle,low_intent_confidence,We'd like to take a closer look at this. Please contact Apple Support through the appropriate support channel so we can investigate further.,False,False
22,@AppleSupport Sure,,device_troubleshooting,device_troubleshooting,0.2959,1.0,@AppleSupport Sure,None,escalate,auto_handle,low_intent_confidence,We'd like to take a closer look at this. Please contact Apple Support through the appropriate support channel so we can investigate further.,True,False
23,I️ need answers. Why do I️ still get that box with the question mark. My phone is updated. @AppleSupport,,connectivity,device_troubleshooting,0.3617,0.9327,@AppleSupport Why does the box with the question mark keep appearing when I️ updated my phone ???,Thanks for reaching out to us. We are always happy to help. Send us a DM with more details so we can look into this with you.,escalate,auto_handle,low_intent_confidence,We'd like to take a closer look at this. Please contact Apple Support through the appropriate support channel so we can investigate further.,False,False
24,@AppleSupport We use Family Sharing. We use one Apple ID for all our iTunes purchases but each family member has an iCloud email address.,"customer: @AppleSupport I’ve never been able to figure out how to set all my family members up on our Apple Music family subscription without their song likes, plays and library additions showing up on my profile (which is the master account). Any detailed instructions anywhere on this? brand: @235792 We'd like to help out the best way we can with your family's subscription to Apple Music and your library. Does their additions and songs appear on only one device or multiple? How many family members do you have on the account? Do these appear from all members? customer: @AppleSupport If my wife or daughter add a song to their library on their iPhones, the song shows up in my library. Also their most recently-played radio stations show up at the top of my stations list. And their playlists show up on my list of playlists. brand: @235792 We'll do our best to get things sorted out, so you each only see your preferred music. To get us headed in the right direction, do you use Family Sharing, and do each of you have your own Apple ID?",battery_power,account_security,0.5132,0.6554,@AppleSupport hi. I am using family sharing and was wondering if I can share my “icloud music library” with my family members. Thanks.,"We're here for you. While you can't share the whole library, you can share playlists. Instructions here:",escalate,auto_handle,low_intent_confidence;sensitive_or_transaction_specific,"For account-security issues, please contact Apple Support through a private support channel so your account details can be reviewed securely.",False,False
25,"@AppleSupport don’t know what you did when updated podcasts but it sucks. I delete the last episode in my library, I get unsubscribed?",,account_security,apple_music_media,0.706,0.8554,"@AppleSupport That worked — thanks! ...can you also tell me why I keep getting unsubscribed from one of my podcasts? Just one, not the others",We are glad that you are all set. Are you able to re-subscribe to the podcast? You can review the steps in this article:,auto_handle,escalate,sufficient_confidence_and_evidence,Thanks for reaching out. We are glad that you are all set. Are you able to re-subscribe to the podcast? You can review the steps in this article:,False,False
26,"@AppleSupport hi, my shipment W488495674 BeatsX has broken, how i claim the warantee?",,device_troubleshooting,how_to_settings,0.464,0.7162,"So my Beats X broke after 3 months, had to organise a repair, Apple have now sent me an invalid shipping label and support hasn't a clue",We want to help. Tell us more about what's happening in DM.,escalate,auto_handle,low_intent_confidence,We'd like to take a closer look at this. Please contact Apple Support through the appropriate support channel so we can investigate further.,False,False
27,"@AppleSupport I’m playing music on Spotify now, why isn’t Control Centre connected to it? I’m on an iPhone 7. #iOS11 https://t.co/8WBTSvKb7u",,purchase_store_refund,apple_music_media,0.5967,0.8127,"@AppleSupport hi, why when i’m playing music from spotify or even with the music app of ios 11, the control center looks like this??? https://t.co/d9La9BEuRA",We're here to help. Try restarting your iPhone as outlined here: DM us if the issue persists.,escalate,escalate,low_intent_confidence,We'd like to take a closer look at this. Please contact Apple Support through the appropriate support channel so we can investigate further.,False,True
28,I'm so confused by this damn apple A thing with that square with the question mark y'all got me fucked up @115858,,apple_music_media,purchase_store_refund,0.3114,0.7897,Apple needs to figure it the fuck out because these question marks in the fucking box are not what I’m about @115858,Here’s what you can do to work around the issue until it’s fixed in a future software update:,escalate,auto_handle,low_intent_confidence;sensitive_or_transaction_specific,This needs transaction-specific assistance. Please contact Apple Support through the appropriate support channel so the purchase or refund details can be reviewed securely.,False,False
