golden_id,customer_message,true_intent,predicted_intent,intent_confidence,retrieval_score,retrieved_customer_message,historical_brand_response,grounded_reply,predicted_action,expected_action,escalation_reason,intent_correct,action_correct
1,@115858 @AppleSupport my imac won't turn on after more than one hour loading. what's going on and how can i fix this.,device_troubleshooting,how_to_settings,0.8813,0.8053,@AppleSupport yo my imac keeps turning off after loading and I don't know how to fix it can you help me,"@137645 Hey there. Let’s see what’s going on with your iMac. To clarify, when you say it turns off after loading, do you mean after seeing the loading bar on startup?","Hey there. Let’s see what’s going on with your iMac. To clarify, when you say it turns off after loading, do you mean after seeing the loading bar on startup?",auto_handle,auto_handle,sufficient_intent_and_historical_evidence,False,True
2,@AppleSupport Thank You!,general_or_insufficient_context,device_troubleshooting,0.2709,1.0,@AppleSupport Thank you !,None,None,escalate,auto_handle,low_intent_confidence,False,False
3,"@AppleSupport I’m using the iPhone 7, iOS 11.1, connected to a wall outlet, and it’s the original cable. It was working for my sisters phone but not mine",battery_power,software_update,0.6579,0.7317,hey @AppleSupport i am having some trouble. my iphone is saying that my original cable isn’t suitable. how can i solve that? https://t.co/D07h5Yw6O4,@516693 Which device are you using? DM us and we'll continue. https://t.co/GDrqU22YpT,Which device are you using? DM us and we'll continue. https://t.co/GDrqU22YpT,auto_handle,auto_handle,sufficient_intent_and_historical_evidence,False,True
4,@AppleSupport Will do. Cheers.,software_update,purchase_store_refund,0.3114,0.9692,@AppleSupport Will do. Thanks a lot,"@371759 You’re very welcome. If you need any further assistance, we’ll be here for you.","You’re very welcome. If you need any further assistance, we’ll be here for you.",escalate,auto_handle,low_intent_confidence;sensitive_or_transaction_specific_intent,False,False
5,@AppleSupport I can’t update from iOS 11.0.1 https://t.co/isco5NAc3n,software_update,software_update,0.9614,0.9331,@115858 @AppleSupport I can’t update to iOS 11.0.2,@207938 Are you trying to update through Wi-Fi or through iTunes? Let us know and we'll help update.,Are you trying to update through Wi-Fi or through iTunes? Let us know and we'll help update.,auto_handle,auto_handle,sufficient_intent_and_historical_evidence,True,True
6,@AppleSupport can you help me check my battery health?,battery_power,battery_power,0.8139,0.9494,@AppleSupport would you be able to check my battery health for me please?,@167164 We're always happy to help. Meet with us in DM and we'll take a look. https://t.co/GDrqU22YpT,We're always happy to help. Meet with us in DM and we'll take a look. https://t.co/GDrqU22YpT,auto_handle,auto_handle,sufficient_intent_and_historical_evidence,True,True
7,"@AppleSupport You know. I get it. My MacBook Pro is almost 8 years old. But if the older Macs are having such issues with this OS, then force obsolete us.",software_update,device_troubleshooting,0.3549,0.7038,@AppleSupport It is a 2017 MacBook Pro. Brand new. This is a known issue with complaints all over your support forums.,"@362690 For assistance on this, please reach out to our Final Cut Pro X team. You can contact them with this link: https://t.co/IBIY3vMgPj","For assistance on this, please reach out to our Final Cut Pro X team. You can contact them with this link: https://t.co/IBIY3vMgPj",escalate,auto_handle,low_intent_confidence,False,False
8,Rented a 4K movie on the 4K Apple TV and the audio was out of sync with the video by more than a second. Thinking maybe hardware issue I tried downloading it on my iPad and it was the same. Good job @AppleSupport,apple_music_media,device_troubleshooting,0.2401,0.6836,@AppleSupport We got our Apple TV 4k on Friday &amp; have had this issue almost every time we try to use it...any insight? https://t.co/ErdNkSGQ6b,@395363 Let's get you pointed in the right direction. Reach out to our Apple TV experts here: https://t.co/IBIY3vMgPj,Let's get you pointed in the right direction. Reach out to our Apple TV experts here: https://t.co/IBIY3vMgPj,escalate,escalate,low_intent_confidence,False,True
9,@115858 I have received an email receipt for something I haven't purchased. Could you please direct me to someone who can help as I am at work and cannot ring up,purchase_store_refund,purchase_store_refund,0.6475,0.6791,@AppleSupport Manchester Arndale too busy to pick up phone so just cut me off x 3. No receipt for my Mon purchase - mis typed email? Help,@571641 We'd like to see how we can help. Let us know in DM if the email can be found in the spam or junk folder: https://t.co/GDrqU22YpT,We'd like to see how we can help. Let us know in DM if the email can be found in the spam or junk folder: https://t.co/GDrqU22YpT,escalate,escalate,sensitive_or_transaction_specific_intent,True,True
10,@AppleSupport 11.0.1 15A403,software_update,software_update,0.7658,0.9908,@AppleSupport 11.0.2 15A421,"@209622 Thanks for that. Let's go ahead and meet in DM, and we'll take a closer look. https://t.co/GDrqU22YpT","Thanks for that. Let's go ahead and meet in DM, and we'll take a closer look. https://t.co/GDrqU22YpT",auto_handle,auto_handle,sufficient_intent_and_historical_evidence,True,True
