golden_id,customer_message,assigned_intent,assigned_intent_signal_count,strongest_signal_intent,strongest_signal_count,top_signal_2,top_signal_2_count,matched_keywords,audit_flag,audit_reason
1,@115858 @AppleSupport my imac won't turn on after more than one hour loading. what's going on and how can i fix this.,device_troubleshooting,1,how_to_settings,2,app_service_issue,1,how can i; turn on,OK,no_strong_conflict_detected
2,@AppleSupport Thank You!,general_or_insufficient_context,0,how_to_settings,2,battery_power,1,settings; disable,HIGH_REVIEW,assigned=general_or_insufficient_context; stronger_signal=how_to_settings
3,"@AppleSupport I’m using the iPhone 7, iOS 11.1, connected to a wall outlet, and it’s the original cable. It was working for my sisters phone but not mine",battery_power,1,software_update,1,battery_power,1,ios 11,OK,no_strong_conflict_detected
4,@AppleSupport Will do. Cheers.,software_update,0,battery_power,2,device_troubleshooting,2,battery; battery life,HIGH_REVIEW,assigned=software_update; stronger_signal=battery_power
5,@AppleSupport I can’t update from iOS 11.0.1 https://t.co/isco5NAc3n,software_update,1,software_update,1,app_service_issue,1,ios 11,OK,no_strong_conflict_detected
6,@AppleSupport can you help me check my battery health?,battery_power,2,battery_power,2,app_service_issue,1,battery; battery health,OK,no_strong_conflict_detected
7,"@AppleSupport You know. I get it. My MacBook Pro is almost 8 years old. But if the older Macs are having such issues with this OS, then force obsolete us.",software_update,1,device_troubleshooting,2,software_update,1,screen; restart,OK,no_strong_conflict_detected
8,Rented a 4K movie on the 4K Apple TV and the audio was out of sync with the video by more than a second. Thinking maybe hardware issue I tried downloading it on my iPad and it was the same. Good job @AppleSupport,apple_music_media,4,apple_music_media,4,app_service_issue,1,movie; video; audio; apple tv,OK,no_strong_conflict_detected
9,@115858 I have received an email receipt for something I haven't purchased. Could you please direct me to someone who can help as I am at work and cannot ring up,purchase_store_refund,2,purchase_store_refund,2,,0,receipt; purchase,OK,no_strong_conflict_detected
10,@AppleSupport 11.0.1 15A403,software_update,1,software_update,1,app_service_issue,1,ios 11,OK,no_strong_conflict_detected
11,@115858 FIX YO SHIT! Tired of this I️,device_troubleshooting,0,,0,,0,,REVIEW,no_signal_detected
12,"Hey @115858 ever since the new IOS update my phone has been randomly freezing, shutting off, not connecting to WiFi, and it’s a 6S+ WTF",connectivity,2,connectivity,2,software_update,1,wifi; not connecting,OK,no_strong_conflict_detected
13,@AppleSupport can not download anything from the App Store. In canada.,device_troubleshooting,0,app_service_issue,2,connectivity,1,app; app store,HIGH_REVIEW,assigned=device_troubleshooting; stronger_signal=app_service_issue
14,"I have the Worst luck with phone between @AppleSupport and @TMobileHelp I always have problems No service, now no battery power😡😡😡😡😡😡",general_or_insufficient_context,0,battery_power,2,connectivity,1,battery; battery power,HIGH_REVIEW,assigned=general_or_insufficient_context; stronger_signal=battery_power
15,@AppleSupport That said when I type it,general_or_insufficient_context,0,app_service_issue,1,,0,app,OK,no_strong_conflict_detected
16,@193767 @AppleSupport @116333 @119462 @123857 Battery lasting barely one day now 😡,how_to_settings,0,battery_power,1,app_service_issue,1,battery,OK,no_strong_conflict_detected
17,@AppleSupport That worked thank you!,connectivity,0,software_update,1,app_service_issue,1,ios 11,OK,no_strong_conflict_detected
18,@AppleSupport What shall i do? https://t.co/xpTaWv3KdV,apple_music_media,1,apple_music_media,1,app_service_issue,1,itunes,OK,no_strong_conflict_detected
